Front	Gloss	Selmaho	Definition	Etymology	Example_1	Example_2	Related	Rafsi
kavbu	capture	gismu	x<sub>1</sub> captures/catches/apprehends/seizes/nabs x<sub>2</sub> with trap/restraint x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">asara</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kac</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaptur</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pakar</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lav</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi pu kavbu le ka bilma fi la zukam vau le ka cadzu bu'u le bartu</span> - <span class="example-eng">I caught cold by walking outside.</span>	<span class="example-jbo">le mi'u nanla pu kavbu le mi'u bolci pa xance</span> - <span class="example-eng">The boy caught the ball with one hand.</span>	<span class="lojban-word">jersi</span> (<span class="gloss">chase</span>), <span class="lojban-word">kalte</span> (<span class="gloss">hunt</span>), <span class="lojban-word">pinfu</span> (<span class="gloss">prisoner</span>), <span class="lojban-word">sisku</span> (<span class="gloss">seek</span>), <span class="lojban-word">se</span>, <span class="lojban-word">rinju</span> (<span class="gloss">restrain</span>)	<span class="rafsi">kav</span>/<span class="rafsi">kavb</span>
tutra	territory	gismu	x<sub>1</sub> is territory/domain/space of/belonging to/controlled by x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">urad</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">teratori</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">teritori</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ract</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tiritor</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le tutra be le manti cu zenba</span> - <span class="example-eng">The territory controlled by ants is extending.</span>		<span class="lojban-word">catni</span> (<span class="gloss">authority</span>), <span class="lojban-word">turni</span> (<span class="gloss">govern</span>), <span class="lojban-word">jecta</span> (<span class="gloss">polity</span>), <span class="lojban-word">gugde</span> (<span class="gloss">country</span>), <span class="lojban-word">ponse</span> (<span class="gloss">possess</span>), <span class="lojban-word">steci</span> (<span class="gloss">particular</span>), <span class="lojban-word">tumla</span> (<span class="gloss">land</span>)	<span class="rafsi">tut</span>/<span class="rafsi">tutr</span>
curnu	worm	gismu	x<sub>1</sub> is a worm/invertebrate animal of species/breed x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">dud</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">uurm</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lombris</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kencua</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cerv</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cun</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u cipni mo'u kavbu le curnu</span> - <span class="example-eng">The bird caught a worm.</span>		<span class="lojban-word">since</span> (<span class="gloss">snake</span>), <span class="lojban-word">silka</span> (<span class="gloss">silk</span>)	<span class="rafsi">cur</span>/<span class="rafsi">curn</span>
dilnu	cloud	gismu	x<sub>1</sub> is a cloud/mass of clouds of material x<sub>2</sub> in air mass x<sub>3</sub> at floor/base elevation x<sub>4</sub>.	<span class="etymology-item"><span class="etymology-source-word">gain</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">klaud</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nub</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">badal</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">oblak</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iun</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u cmana cu cupra le dilnu be le danmo</span> - <span class="example-eng">The mountain produces clouds of smoke.</span>		<span class="lojban-word">carvi</span> (<span class="gloss">rain</span>), <span class="lojban-word">tcima</span> (<span class="gloss">weather</span>)	<span class="rafsi">dil</span>/<span class="rafsi">diln</span>
sluji	muscle	gismu	x<sub>1</sub> is a/the muscle [body-part] controlling x<sub>2</sub>, of body x<sub>3</sub>; [metaphor: tools of physical power].	<span class="etymology-item"><span class="etymology-source-word">adala</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">masl</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">muskul</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pec</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">muskul</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ji</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ko palpi le sluji be le birka be mi</span> - <span class="example-eng">Touch and feel the muscle of my arm.</span>		<span class="lojban-word">rectu</span> (<span class="gloss">meat</span>), <span class="lojban-word">xadni</span> (<span class="gloss">body</span>), <span class="lojban-word">zajba</span> (<span class="gloss">gymnast</span>)	<span class="rafsi">slu</span>/<span class="rafsi">sluj</span>
dakli	bag	gismu	x<sub>1</sub> is a sack/bag with contents x<sub>2</sub>, and of material x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">zakib</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sak</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sak</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tail</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sumk</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dai</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi ba bevri pa dakli be le tamca le nenri</span> - <span class="example-eng">I will take a bag of tomatoes inside.</span>		<span class="lojban-word">daski</span> (<span class="gloss">pocket</span>), <span class="lojban-word">bakfu</span> (<span class="gloss">bundle</span>)	<span class="rafsi">dakl</span>
mixre	mixture	gismu	x<sub>1</sub> <span class="word-kind">(mass)</font> is a mixture/blend/colloid/commingling with ingredients including x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">xalil</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mikscr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mikstur</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">micran</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">miec</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xue</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le vacri cu mixre so'o gapci</span> - <span class="example-eng">Air is a mixture of several gases.</span>		<span class="lojban-word">salta</span> (<span class="gloss">salad</span>), <span class="lojban-word">runta</span> (<span class="gloss">dissolve</span>), <span class="lojban-word">stasu</span> (<span class="gloss">soup</span>), <span class="lojban-word">jicla</span> (<span class="gloss">stir</span>), <span class="lojban-word">sanso</span> (<span class="gloss">sauce</span>)	<span class="rafsi">mix</span>/<span class="rafsi">xre</span>/<span class="rafsi">mixr</span>
sidju	help	gismu	x<sub>1</sub> helps/assists/aids object/person x<sub>2</sub> do/achieve/maintain event/activity x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">sada</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">eid</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">aiud</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">saxait</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pamag</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ju</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">pei e'o do sidju mi le ka tadni le cmaci</span> - <span class="example-eng">Could you help me in studying math?</span>		<span class="lojban-word">si'u</span>, <span class="lojban-word">rirni</span> (<span class="gloss">parent</span>), <span class="lojban-word">sarji</span> (<span class="gloss">support</span>), <span class="lojban-word">vipsi</span> (<span class="gloss">deputy</span>), <span class="lojban-word">ferti</span> (<span class="gloss">fertile</span>), <span class="lojban-word">selfu</span> (<span class="gloss">serve</span>)	<span class="rafsi">dju</span>/<span class="rafsi">sidj</span>
cpina	pungent	gismu	x<sub>1</sub> is pungent/piquant/peppery/spicy/irritating to sense x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">xadi</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">piknt</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pikante</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tikcna</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pikantn</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cin</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u sanso cu cpina</span> - <span class="example-eng">The sauce is hot.</span>	<span class="example-jbo">le mi'u panci cu cpina</span> - <span class="example-eng">The smell is irritating.</span>	<span class="lojban-word">vrusi</span> (<span class="gloss">taste</span>), <span class="lojban-word">kukte</span> (<span class="gloss">delicious</span>), <span class="lojban-word">cidja</span> (<span class="gloss">food</span>), <span class="lojban-word">panci</span> (<span class="gloss">odor</span>), <span class="lojban-word">sumne</span> (<span class="gloss">smell</span>)	<span class="rafsi">cpin</span>
fulta	float	gismu	x<sub>1</sub> <span class="word-kind">(passive)</font> floats on/in fluid <span class="word-kind">(gas/liquid)</font> x<sub>2</sub>; x<sub>1</sub> is buoyant.	<span class="etymology-item"><span class="etymology-source-word">tafa</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">flot</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">flot</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">utra</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">plav</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le morsi pezli xu fulta le sefta be le mi'u djacu</span> - <span class="example-eng">Dead leaves float on the surface of the water.</span>		<span class="lojban-word">limna</span> (<span class="gloss">swim</span>), <span class="lojban-word">bloti</span> (<span class="gloss">boat</span>), <span class="lojban-word">sakli</span> (<span class="gloss">slide</span>)	<span class="rafsi">ful</span>/<span class="rafsi">flu</span>/<span class="rafsi">fult</span>
cupra	produce	gismu	x<sub>1</sub> produces x<sub>2</sub> [product] by process x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">antaj</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">produs</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">produs</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">utpan</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">praizvad</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le karce cu cupra le nejni le ka jai gau jelca le livla</span> - <span class="example-eng">Car produces energy by burning fuel.</span>	<span class="example-jbo">le tricu cu se cupra le grute</span> - <span class="example-eng">Trees come from fruits.</span>	<span class="lojban-word">zbasu</span> (<span class="gloss">build</span>), <span class="lojban-word">farvi</span> (<span class="gloss">develop</span>), <span class="lojban-word">gundi</span> (<span class="gloss">industry</span>), <span class="lojban-word">jukpa</span> (<span class="gloss">cook</span>), <span class="lojban-word">genja</span> (<span class="gloss">root</span>), <span class="lojban-word">jicmu</span> (<span class="gloss">basic</span>)	<span class="rafsi">pra</span>/<span class="rafsi">cupr</span>
spuda	reply	gismu	x<sub>1</sub> answers/replies to/responds to person/object/event/situation/stimulus x<sub>2</sub> with response x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">rada</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rispand</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">respond</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">utar</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">atvic</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">da</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi pu spuda le se retsku le ka spusku zo je'u</span> - <span class="example-eng">I responded to the question by replying &quot;Yes.&quot;</span>	<span class="example-jbo">le mi'u prenu pu spuda le se friti be le mi'u fetsi le ka cmila</span> - <span class="example-eng">The person responded to her offer with laughter.</span>	<span class="lojban-word">cusku</span> (<span class="gloss">express</span>), <span class="lojban-word">retsku</span>, <span class="lojban-word">nabmi</span> (<span class="gloss">problem</span>), <span class="lojban-word">danfu</span> (<span class="gloss">answer</span>), <span class="lojban-word">spuda</span> (<span class="gloss">reply</span>), <span class="lojban-word">cpedu</span> (<span class="gloss">ask</span>)	<span class="rafsi">spu</span>/<span class="rafsi">spud</span>
cutci	shoe	gismu	x<sub>1</sub> is a shoe/boot/sandal for covering/protecting [feet/hooves] x<sub>2</sub>, and of material x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">naal</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cu</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sapat</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">juta</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">batinok</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cie</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti noi prenu cu zbasu le cutci be le sufti</span> - <span class="example-eng">This person makes horseshoes.</span>		<span class="lojban-word">smoka</span> (<span class="gloss">sock</span>), <span class="lojban-word">taxfu</span> (<span class="gloss">garment</span>), <span class="lojban-word">skiji</span> (<span class="gloss">ski</span>)	<span class="rafsi">cuc</span>/<span class="rafsi">cutc</span>
jatna	captain	gismu	x<sub>1</sub> is captain/commander/leader/in-charge/boss of vehicle/domain x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">kubtan</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaptn</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kapitan</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaptan</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kapitan</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">jan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u jatna be le kamni pe mi'o cu jinvi ma</span> - <span class="example-eng">What does the commander of our committee think?</span>		<span class="lojban-word">jitro</span> (<span class="gloss">control</span>), <span class="lojban-word">lidne</span> (<span class="gloss">lead</span>), <span class="lojban-word">te</span>, <span class="lojban-word">bende</span> (<span class="gloss">association</span>), <span class="lojban-word">minde</span> (<span class="gloss">command</span>), <span class="lojban-word">ralju</span> (<span class="gloss">principal</span>), <span class="lojban-word">gidva</span> (<span class="gloss">conduct</span>), <span class="lojban-word">bloti</span> (<span class="gloss">boat</span>)	<span class="rafsi">ja'a</span>/<span class="rafsi">jatn</span>
xruba	buckwheat	gismu	x<sub>1</sub> is a quantity of buckwheat/rhubarb/sorrel grass of species/strain x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">ribas</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rubarb</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ruibarb</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">*</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">gricix</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">daxuan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">bu'u la nipon le prenu cu citka le xruba nudle</span> - <span class="example-eng">In Japan people like eating buckwheat noodles.</span>		<span class="lojban-word">spati</span> (<span class="gloss">plant</span>)	<span class="rafsi">xub</span>/<span class="rafsi">xrub</span>
krixa	cry out	gismu	x<sub>1</sub> cries out/yells/howls sound x<sub>2</sub>; x<sub>1</sub> is a crier.	<span class="etymology-item"><span class="etymology-source-word">sarax</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">krai</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">grit</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cila</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kric</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ra pu krixa zo sidju</span> - <span class="example-eng">He cried, &quot;Help!&quot;</span>		<span class="lojban-word">klaku</span> (<span class="gloss">cry</span>), <span class="lojban-word">bacru</span> (<span class="gloss">utter</span>)	<span class="rafsi">kix</span>/<span class="rafsi">ki'a</span>/<span class="rafsi">krix</span>
vajni	important	gismu	x<sub>1</sub> <span class="word-kind">(object/event)</font> is important/significant to x<sub>2</sub> <span class="word-kind">(person/event)</font> in aspect/for reason x<sub>3</sub> <span class="word-kind">(nu/ka)</font>.	<span class="etymology-item"><span class="etymology-source-word">muxim</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">signifik</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">signifik</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">avaciak</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">vajn</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">juniao</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">na vajni mi</span> - <span class="example-eng">I don't care.</span>	<span class="example-jbo">le nu do di'i tavla fo la lojban cu vajni mi le ka se jalge le nu do certu tu'a la lojban</span> - <span class="example-eng">Regularly talking in Lojban is important to me in that it results in you becoming an expert in Lojban.</span>	<span class="lojban-word">banli</span> (<span class="gloss">great</span>), <span class="lojban-word">ralju</span> (<span class="gloss">principal</span>), <span class="lojban-word">vamji</span> (<span class="gloss">value</span>), <span class="lojban-word">dirba</span> (<span class="gloss">dear</span>), <span class="lojban-word">kargu</span> (<span class="gloss">costly</span>), <span class="lojban-word">pajni</span> (<span class="gloss">judge</span>)	<span class="rafsi">vaj</span>/<span class="rafsi">vai</span>/<span class="rafsi">vajn</span>
randa	yield	gismu	x<sub>1</sub> yields/gives way/surrenders to x<sub>2</sub> <span class="word-kind">(force/agent)</font> under conditions x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">atmara</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">srendr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rend</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">man</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sdav</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cian</span>(<span class="etymology-lang">zh</span>)</span>				<span class="rafsi">rad</span>/<span class="rafsi">rand</span>
kanba	goat	gismu	x<sub>1</sub> is a goat/angora/[billy-goat/kid] of species/breed x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">anza</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">got</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kabr</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bakr</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaz</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cianian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u cirla cu se zbasu fi le ladru be le kanba</span> - <span class="example-eng">The cheese is made from goat's milk.</span>		<span class="lojban-word">lanme</span> (<span class="gloss">sheep</span>), <span class="lojban-word">sunla</span> (<span class="gloss">wool</span>)	<span class="rafsi">kanb</span>
rinka	cause	gismu	x<sub>1</sub> <span class="word-kind">(event/state)</font> effects/physically causes effect x<sub>2</sub> <span class="word-kind">(event/state)</font> under conditions x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">sabab</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaz</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaus</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">karn</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pricin</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iin</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le nu ctuca cu rinka le nu farvi</span> - <span class="example-eng">Education is the agent of progress.</span>		<span class="lojban-word">gasnu</span> (<span class="gloss">bring about</span>), <span class="lojban-word">krinu</span> (<span class="gloss">reason</span>), <span class="lojban-word">nibli</span> (<span class="gloss">necessitate</span>), <span class="lojban-word">zukte</span> (<span class="gloss">act</span>), <span class="lojban-word">jalge</span> (<span class="gloss">result</span>), <span class="lojban-word">bapli</span> (<span class="gloss">effective</span>), <span class="lojban-word">jitro</span> (<span class="gloss">control</span>), <span class="lojban-word">ri'a</span>, <span class="lojban-word">mukti</span> (<span class="gloss">motive</span>), <span class="lojban-word">ciksi</span> (<span class="gloss">explain</span>), <span class="lojban-word">volta</span>	<span class="rafsi">rik</span>/<span class="rafsi">ri'a</span>/<span class="rafsi">rink</span>
xutla	smooth	gismu	x<sub>1</sub> is smooth/even/[soft/silky] in texture/regularity.	<span class="etymology-item"><span class="etymology-source-word">amlas</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">smut</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">plan</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cikan</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">glatk</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xua</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u djacu cu simlu le ka xutla tai le ka blaci</span> - <span class="example-eng">The water looks smooth as glass.</span>		<span class="lojban-word">plita</span> (<span class="gloss">plane</span>), <span class="lojban-word">rufsu</span> (<span class="gloss">rough</span>), <span class="lojban-word">tengu</span> (<span class="gloss">texture</span>), <span class="lojban-word">dikni</span> (<span class="gloss">regular</span>), <span class="lojban-word">pinta</span> (<span class="gloss">flat</span>), <span class="lojban-word">sakli</span> (<span class="gloss">slide</span>), <span class="lojban-word">spali</span> (<span class="gloss">polish</span>)	<span class="rafsi">xul</span>/<span class="rafsi">xutl</span>
silna	salt	gismu	x<sub>1</sub> is a portion/quantity of salt from source x<sub>2</sub>, of composition including x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">milx</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">salt</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sal</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">namak</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sol</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">e'o ko te cpacu le silna mi</span> - <span class="example-eng">Please, pass me the salt.</span>	<span class="example-jbo">le silna be le sodna cu cidja</span> - <span class="example-eng">A salt of Sodium is a food.</span>	<span class="lojban-word">sakta</span> (<span class="gloss">sugar</span>)	<span class="rafsi">siln</span>
terpa	fear	gismu	x<sub>1</sub> fears x<sub>2</sub>; x<sub>1</sub> is afraid/scared/frightened by/fearful of x<sub>2</sub> <span class="word-kind">(event/tu'a object)</font>.	<span class="etymology-item"><span class="etymology-source-word">xuf</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">terr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">teror</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dar</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">strax</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pa</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi terpa le nu le mamta cu viska ti</span> - <span class="example-eng">I'm afraid that my mom will see this.</span>		<span class="lojban-word">snura</span> (<span class="gloss">safe</span>), <span class="lojban-word">xalni</span> (<span class="gloss">panic</span>), <span class="lojban-word">xanka</span> (<span class="gloss">nervous</span>), <span class="lojban-word">virnu</span> (<span class="gloss">brave</span>)	<span class="rafsi">tep</span>/<span class="rafsi">te'a</span>/<span class="rafsi">terp</span>
